id_kos,nama_kos,kota,wilayah,harga_per_bulan,tipe_kos,ukuran_kamar,ac,kamar_mandi_dalam,wifi,listrik_include,parkir,dapur,laundry,security_24jam,jarak_ke_kampus_km,kampus_terdekat,jarak_ke_transportasi_km,rating,jumlah_kamar,jumlah_review,deskripsi_promosi,ulasan_penghuni,foto_path,latitude,longitude
KOS-0011,Kos Mampang Prapatan 11,Jakarta Selatan,Mampang Prapatan,2300000,Putri,18,1,1,0,0,0,1,1,0,5.8,Universitas Pancasila,2.7,4.8,9,13,"Hunian nyaman di jantung Jakarta Selatan. Kos putri dengan AC, kamar mandi dalam, dapur bersama, dan laundry. Ukuran kamar 18m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 2.7 km. Cocok untuk profesional muda yang aktif.","Kos paling nyaman selama kuliah di Jakarta. AC dingin, tidak berisik. Kamar mandi pribadi sangat nyaman. Lingkungan bersih dan aman, tidak pernah ada masalah keamanan. Sangat recommended untuk mahasiswa baru!",assets/kos_photos/kos_0011.jpg,-6.233276,106.807751
KOS-0012,Kos Pesanggrahan 12,Jakarta Selatan,Pesanggrahan,3200000,Campur,15,1,1,1,1,1,1,0,0,0.6,Binus,0.7,3.7,22,58,"Tersedia kamar kos campur di kawasan Pesanggrahan, Jakarta Selatan. Luas kamar 15m², fasilitas: AC, kamar mandi dalam, WiFi, listrik termasuk, parkir, dan dapur bersama. Dekat kampus (0.6 km) dan transportasi umum (0.7 km). Lingkungan tenang, pemilik kos ramah dan responsif. Harga sudah mencakup biaya perawatan fasilitas bersama. Ideal untuk pelajar yang baru merantau.","Cukup nyaman untuk kebutuhan sehari-hari. WiFi kencang dan stabil. AC dingin, tidak berisik. Harga standar untuk area sini. Cocok untuk yang budget terbatas.",assets/kos_photos/kos_0012.jpg,-6.245235,106.829181
KOS-0013,Kos Pasar Minggu 13,Jakarta Selatan,Pasar Minggu,2450000,Putri,12,1,0,1,0,1,1,0,1,1.4,Atmajaya,2.0,5.0,17,186,"Hunian nyaman di jantung Jakarta Selatan. Kos putri dengan AC, WiFi, parkir, dapur bersama, dan security 24 jam. Ukuran kamar 12m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 2.0 km. Cocok untuk profesional muda yang aktif.","Sudah 8 tahun tinggal di sini dan tidak mau pindah. WiFi kencang dan stabil. AC dingin, tidak berisik. Lingkungan aman dan nyaman, penghuni dipilih secara selektif.",assets/kos_photos/kos_0013.jpg,-6.29078,106.824179
KOS-0014,Kos Mampang Prapatan 14,Jakarta Selatan,Mampang Prapatan,3400000,Putra,15,1,1,1,1,1,0,1,0,2.2,UI Depok,4.7,4.1,13,28,"Kos bersih dan terawat di Mampang Prapatan, Jakarta Selatan. Kamar putra berukuran 15m² tersedia dengan fasilitas AC, kamar mandi dalam, WiFi, listrik termasuk, parkir, dan laundry. Pengelolaan profesional, kontrak fleksibel per bulan. Jarak 2.2 km dari kampus, 4.7 km dari halte atau stasiun. Survei gratis, hubungi pemilik sekarang!","Lokasi sangat strategis, ke mana-mana mudah dijangkau. WiFi kencang dan stabil. AC dingin, tidak berisik. Harga sangat worth it untuk fasilitasnya. Teman sesama penghuni juga asik.",assets/kos_photos/kos_0014.jpg,-6.258583,106.816067
KOS-0015,Kos Pancoran 15,Jakarta Selatan,Pancoran,2250000,Putri,12,1,1,1,0,1,0,0,1,8.5,Binus,4.7,4.5,27,131,"Kos bersih dan terawat di Pancoran, Jakarta Selatan. Kamar putri berukuran 12m² tersedia dengan fasilitas AC, kamar mandi dalam, WiFi, parkir, dan security 24 jam. Pengelolaan profesional, kontrak fleksibel per bulan. Jarak 8.5 km dari kampus, 4.7 km dari halte atau stasiun. Survei gratis, hubungi pemilik sekarang!","Sudah 18 bulan di sini, sangat puas! Kamar bersih dan wangi. WiFi kencang dan stabil. AC dingin, tidak berisik. Pemilik kos sigap menangani keluhan. Sangat direkomendasikan!",assets/kos_photos/kos_0015.jpg,-6.25591,106.827573
KOS-0016,Kos Setiabudi 16,Jakarta Selatan,Setiabudi,3400000,Campur,20,1,1,1,1,1,0,1,1,5.4,Binus,2.6,4.6,20,119,"Hunian nyaman di jantung Jakarta Selatan. Kos campur dengan AC, kamar mandi dalam, WiFi, listrik termasuk, parkir, laundry, dan security 24 jam. Ukuran kamar 20m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 2.6 km. Cocok untuk profesional muda yang aktif.","Lokasi sangat strategis, ke mana-mana mudah dijangkau. WiFi kencang dan stabil. AC dingin, tidak berisik. Harga sangat worth it untuk fasilitasnya. Teman sesama penghuni juga asik.",assets/kos_photos/kos_0016.jpg,-6.245718,106.774171
KOS-0017,Kos Jagakarsa 17,Jakarta Selatan,Jagakarsa,2950000,Campur,9,0,1,1,1,1,0,1,1,0.9,Universitas Pancasila,1.7,4.7,16,9,"Kos campur strategis di Jagakarsa, Jakarta Selatan. Kamar 9m² dilengkapi kamar mandi dalam, WiFi, listrik termasuk, parkir, laundry, dan security 24 jam. Lokasi hanya 0.9 km dari kampus dan 1.7 km dari moda transportasi umum. Suasana bersih, aman, dan nyaman. Cocok untuk mahasiswa maupun pekerja muda yang menginginkan hunian berkualitas dengan harga terjangkau.","Sudah 3 bulan di sini, sangat puas! Kamar bersih dan wangi. WiFi kencang dan stabil. Kamar mandi pribadi sangat nyaman. Pemilik kos sigap menangani keluhan. Sangat direkomendasikan!",assets/kos_photos/kos_0017.jpg,-6.273259,106.794628
KOS-0018,Kos Jagakarsa 18,Jakarta Selatan,Jagakarsa,2000000,Putra,15,0,0,1,1,1,1,1,1,3.1,Atmajaya,2.3,4.9,27,141,"Kos putra strategis di Jagakarsa, Jakarta Selatan. Kamar 15m² dilengkapi WiFi, listrik termasuk, parkir, dapur bersama, laundry, dan security 24 jam. Lokasi hanya 3.1 km dari kampus dan 2.3 km dari moda transportasi umum. Suasana bersih, aman, dan nyaman. Cocok untuk mahasiswa maupun pekerja muda yang menginginkan hunian berkualitas dengan harga terjangkau.","Sudah 8 tahun tinggal di sini dan tidak mau pindah. WiFi kencang dan stabil. Keamanan 24 jam membuat tenang. Lingkungan aman dan nyaman, penghuni dipilih secara selektif.",assets/kos_photos/kos_0018.jpg,-6.283146,106.834807
KOS-0019,Kos Kebayoran Lama 19,Jakarta Selatan,Kebayoran Lama,2200000,Putri,15,0,1,1,0,0,0,1,1,4.6,UI Depok,3.7,3.7,26,33,"Kos eksklusif putri area Kebayoran Lama! Fasilitas lengkap: kamar mandi dalam, WiFi, laundry, dan security 24 jam. Kamar 15m² dengan pencahayaan dan ventilasi optimal. Akses mudah ke pusat bisnis Jakarta Selatan. Penjaga aktif 24 jam, CCTV terpasang di area umum. Hanya 4.6 km ke kampus terdekat. Daftar sekarang!","Oke secara keseluruhan. WiFi kencang dan stabil. Kamar mandi pribadi sangat nyaman. Ada plus minusnya, tapi tidak mengecewakan. Lumayan untuk jangka panjang.",assets/kos_photos/kos_0019.jpg,-6.269872,106.814669
KOS-0020,Kos Kebayoran Lama 20,Jakarta Selatan,Kebayoran Lama,2700000,Putri,15,0,0,1,0,0,1,1,0,1.0,Binus,4.8,3.5,23,100,"Kos eksklusif putri area Kebayoran Lama! Fasilitas lengkap: WiFi, dapur bersama, dan laundry. Kamar 15m² dengan pencahayaan dan ventilasi optimal. Akses mudah ke pusat bisnis Jakarta Selatan. Penjaga aktif 24 jam, CCTV terpasang di area umum. Hanya 1.0 km ke kampus terdekat. Daftar sekarang!","Oke secara keseluruhan. WiFi kencang dan stabil. Ada plus minusnya, tapi tidak mengecewakan. Lumayan untuk jangka panjang.",assets/kos_photos/kos_0020.jpg,-6.241666,106.801882
KOS-0021,Kos Pancoran 21,Jakarta Selatan,Pancoran,3550000,Putri,12,1,1,1,1,1,1,0,1,1.7,Binus,4.1,4.7,12,47,"Kos bersih dan terawat di Pancoran, Jakarta Selatan. Kamar putri berukuran 12m² tersedia dengan fasilitas AC, kamar mandi dalam, WiFi, listrik termasuk, parkir, dapur bersama, dan security 24 jam. Pengelolaan profesional, kontrak fleksibel per bulan. Jarak 1.7 km dari kampus, 4.1 km dari halte atau stasiun. Survei gratis, hubungi pemilik sekarang!","Sudah 2 tahun tinggal di sini dan tidak mau pindah. WiFi kencang dan stabil. AC dingin, tidak berisik. Lingkungan aman dan nyaman, penghuni dipilih secara selektif.",assets/kos_photos/kos_0021.jpg,-6.240051,106.805817
KOS-0022,Kos Tebet 22,Jakarta Selatan,Tebet,2200000,Putri,15,0,1,1,1,1,1,0,0,3.8,Binus,4.7,5.0,8,105,"Tersedia kamar kos putri di kawasan Tebet, Jakarta Selatan. Luas kamar 15m², fasilitas: kamar mandi dalam, WiFi, listrik termasuk, parkir, dan dapur bersama. Dekat kampus (3.8 km) dan transportasi umum (4.7 km). Lingkungan tenang, pemilik kos ramah dan responsif. Harga sudah mencakup biaya perawatan fasilitas bersama. Ideal untuk pelajar yang baru merantau.","Sudah 6 tahun tinggal di sini dan tidak mau pindah. WiFi kencang dan stabil. Kamar mandi pribadi sangat nyaman. Lingkungan aman dan nyaman, penghuni dipilih secara selektif.",assets/kos_photos/kos_0022.jpg,-6.284486,106.823029
KOS-0023,Kos Pesanggrahan 23,Jakarta Selatan,Pesanggrahan,2500000,Putra,15,1,1,1,0,0,0,1,1,7.5,Binus,1.3,4.2,29,145,"Kos eksklusif putra area Pesanggrahan! Fasilitas lengkap: AC, kamar mandi dalam, WiFi, laundry, dan security 24 jam. Kamar 15m² dengan pencahayaan dan ventilasi optimal. Akses mudah ke pusat bisnis Jakarta Selatan. Penjaga aktif 24 jam, CCTV terpasang di area umum. Hanya 7.5 km ke kampus terdekat. Daftar sekarang!","Baru 24 minggu tapi sudah betah banget. WiFi kencang dan stabil. AC dingin, tidak berisik. Air bersih dan lancar, listrik stabil, tidak pernah mati. Harga sepadan.",assets/kos_photos/kos_0023.jpg,-6.244238,106.799919
KOS-0024,Kos Pasar Minggu 24,Jakarta Selatan,Pasar Minggu,2850000,Putri,12,1,0,1,0,1,1,1,1,3.3,Atmajaya,1.8,4.7,29,113,"Hunian nyaman di jantung Jakarta Selatan. Kos putri dengan AC, WiFi, parkir, dapur bersama, laundry, dan security 24 jam. Ukuran kamar 12m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 1.8 km. Cocok untuk profesional muda yang aktif.","Lokasi sangat strategis, ke mana-mana mudah dijangkau. WiFi kencang dan stabil. AC dingin, tidak berisik. Harga sangat worth it untuk fasilitasnya. Teman sesama penghuni juga asik.",assets/kos_photos/kos_0024.jpg,-6.269234,106.822019
KOS-0025,Kos Kebayoran Lama 25,Jakarta Selatan,Kebayoran Lama,2900000,Putri,15,1,0,1,0,1,0,0,0,1.5,UI Depok,0.6,4.7,6,33,"Hunian nyaman di jantung Jakarta Selatan. Kos putri dengan AC, WiFi, dan parkir. Ukuran kamar 15m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 0.6 km. Cocok untuk profesional muda yang aktif.","Baru 12 minggu tapi sudah betah banget. WiFi kencang dan stabil. AC dingin, tidak berisik. Air bersih dan lancar, listrik stabil, tidak pernah mati. Harga sepadan.",assets/kos_photos/kos_0025.jpg,-6.270576,106.801057
KOS-0026,Kos Kebayoran Lama 26,Jakarta Selatan,Kebayoran Lama,2300000,Putri,12,0,1,1,1,0,1,0,0,4.1,UI Depok,3.6,4.2,17,130,"Kos eksklusif putri area Kebayoran Lama! Fasilitas lengkap: kamar mandi dalam, WiFi, listrik termasuk, dan dapur bersama. Kamar 12m² dengan pencahayaan dan ventilasi optimal. Akses mudah ke pusat bisnis Jakarta Selatan. Penjaga aktif 24 jam, CCTV terpasang di area umum. Hanya 4.1 km ke kampus terdekat. Daftar sekarang!","Sudah 3 tahun tinggal di sini dan tidak mau pindah. WiFi kencang dan stabil. Kamar mandi pribadi sangat nyaman. Lingkungan aman dan nyaman, penghuni dipilih secara selektif.",assets/kos_photos/kos_0026.jpg,-6.273235,106.810912
KOS-0027,Kos Setiabudi 27,Jakarta Selatan,Setiabudi,3450000,Putra,12,1,1,1,1,1,0,0,1,4.6,Binus,4.1,4.0,20,168,"Kos putra strategis di Setiabudi, Jakarta Selatan. Kamar 12m² dilengkapi AC, kamar mandi dalam, WiFi, listrik termasuk, parkir, dan security 24 jam. Lokasi hanya 4.6 km dari kampus dan 4.1 km dari moda transportasi umum. Suasana bersih, aman, dan nyaman. Cocok untuk mahasiswa maupun pekerja muda yang menginginkan hunian berkualitas dengan harga terjangkau.","Lokasi sangat strategis, ke mana-mana mudah dijangkau. WiFi kencang dan stabil. AC dingin, tidak berisik. Harga sangat worth it untuk fasilitasnya. Teman sesama penghuni juga asik.",assets/kos_photos/kos_0027.jpg,-6.250337,106.827235
KOS-0028,Kos Pasar Minggu 28,Jakarta Selatan,Pasar Minggu,2300000,Putri,20,1,0,0,0,0,1,0,0,9.6,Binus,0.5,4.0,8,140,"Tersedia kamar kos putri di kawasan Pasar Minggu, Jakarta Selatan. Luas kamar 20m², fasilitas: AC dan dapur bersama. Dekat kampus (9.6 km) dan transportasi umum (0.5 km). Lingkungan tenang, pemilik kos ramah dan responsif. Harga sudah mencakup biaya perawatan fasilitas bersama. Ideal untuk pelajar yang baru merantau.","Sudah 2 tahun tinggal di sini dan tidak mau pindah. AC dingin, tidak berisik. Lingkungan aman dan nyaman, penghuni dipilih secara selektif.",assets/kos_photos/kos_0028.jpg,-6.263493,106.768417
KOS-0029,Kos Setiabudi 29,Jakarta Selatan,Setiabudi,3150000,Putri,9,0,0,1,0,1,0,0,1,1.8,Binus,0.6,4.4,29,14,"Tersedia kamar kos putri di kawasan Setiabudi, Jakarta Selatan. Luas kamar 9m², fasilitas: WiFi, parkir, dan security 24 jam. Dekat kampus (1.8 km) dan transportasi umum (0.6 km). Lingkungan tenang, pemilik kos ramah dan responsif. Harga sudah mencakup biaya perawatan fasilitas bersama. Ideal untuk pelajar yang baru merantau.","Sudah 8 tahun tinggal di sini dan tidak mau pindah. WiFi kencang dan stabil. Keamanan 24 jam membuat tenang. Lingkungan aman dan nyaman, penghuni dipilih secara selektif.",assets/kos_photos/kos_0029.jpg,-6.294567,106.785669
KOS-0030,Kos Mampang Prapatan 30,Jakarta Selatan,Mampang Prapatan,2000000,Putri,12,1,1,0,0,1,0,1,0,8.4,Universitas Pancasila,2.9,3.7,25,59,"Hunian nyaman di jantung Jakarta Selatan. Kos putri dengan AC, kamar mandi dalam, parkir, dan laundry. Ukuran kamar 12m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 2.9 km. Cocok untuk profesional muda yang aktif.","Cukup nyaman untuk kebutuhan sehari-hari. AC dingin, tidak berisik. Kamar mandi pribadi sangat nyaman. Harga standar untuk area sini. Cocok untuk yang budget terbatas.",assets/kos_photos/kos_0030.jpg,-6.270954,106.843081
KOS-0031,Kos Cilandak 31,Jakarta Selatan,Cilandak,2650000,Putra,9,1,1,1,1,1,1,1,0,2.9,Universitas Pancasila,1.5,4.6,6,99,"Hunian nyaman di jantung Jakarta Selatan. Kos putra dengan AC, kamar mandi dalam, WiFi, listrik termasuk, parkir, dapur bersama, dan laundry. Ukuran kamar 9m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 1.5 km. Cocok untuk profesional muda yang aktif.","Lokasi sangat strategis, ke mana-mana mudah dijangkau. WiFi kencang dan stabil. AC dingin, tidak berisik. Harga sangat worth it untuk fasilitasnya. Teman sesama penghuni juga asik.",assets/kos_photos/kos_0031.jpg,-6.243062,106.78726
KOS-0032,Kos Mampang Prapatan 32,Jakarta Selatan,Mampang Prapatan,2900000,Putri,12,0,1,1,1,1,1,1,0,5.1,Binus,2.2,4.7,11,196,"Kos putri strategis di Mampang Prapatan, Jakarta Selatan. Kamar 12m² dilengkapi kamar mandi dalam, WiFi, listrik termasuk, parkir, dapur bersama, dan laundry. Lokasi hanya 5.1 km dari kampus dan 2.2 km dari moda transportasi umum. Suasana bersih, aman, dan nyaman. Cocok untuk mahasiswa maupun pekerja muda yang menginginkan hunian berkualitas dengan harga terjangkau.","Baru 3 minggu tapi sudah betah banget. WiFi kencang dan stabil. Kamar mandi pribadi sangat nyaman. Air bersih dan lancar, listrik stabil, tidak pernah mati. Harga sepadan.",assets/kos_photos/kos_0032.jpg,-6.269976,106.831608
KOS-0033,Kos Tebet 33,Jakarta Selatan,Tebet,2500000,Putri,15,1,1,1,0,1,0,0,1,8.7,Universitas Pancasila,4.8,4.2,24,73,"Kos eksklusif putri area Tebet! Fasilitas lengkap: AC, kamar mandi dalam, WiFi, parkir, dan security 24 jam. Kamar 15m² dengan pencahayaan dan ventilasi optimal. Akses mudah ke pusat bisnis Jakarta Selatan. Penjaga aktif 24 jam, CCTV terpasang di area umum. Hanya 8.7 km ke kampus terdekat. Daftar sekarang!","Sudah 8 bulan di sini, sangat puas! Kamar bersih dan wangi. WiFi kencang dan stabil. AC dingin, tidak berisik. Pemilik kos sigap menangani keluhan. Sangat direkomendasikan!",assets/kos_photos/kos_0033.jpg,-6.250639,106.816543
KOS-0034,Kos Tebet 34,Jakarta Selatan,Tebet,2750000,Putri,15,1,0,1,1,1,0,0,1,2.2,UI Depok,3.5,4.3,22,126,"Kos bersih dan terawat di Tebet, Jakarta Selatan. Kamar putri berukuran 15m² tersedia dengan fasilitas AC, WiFi, listrik termasuk, parkir, dan security 24 jam. Pengelolaan profesional, kontrak fleksibel per bulan. Jarak 2.2 km dari kampus, 3.5 km dari halte atau stasiun. Survei gratis, hubungi pemilik sekarang!","Baru 8 minggu tapi sudah betah banget. WiFi kencang dan stabil. AC dingin, tidak berisik. Air bersih dan lancar, listrik stabil, tidak pernah mati. Harga sepadan.",assets/kos_photos/kos_0034.jpg,-6.259697,106.797363
KOS-0035,Kos Pasar Minggu 35,Jakarta Selatan,Pasar Minggu,2500000,Putri,12,0,0,1,0,0,0,0,0,7.1,Atmajaya,0.4,3.6,15,52,"Kos putri strategis di Pasar Minggu, Jakarta Selatan. Kamar 12m² dilengkapi WiFi. Lokasi hanya 7.1 km dari kampus dan 0.4 km dari moda transportasi umum. Suasana bersih, aman, dan nyaman. Cocok untuk mahasiswa maupun pekerja muda yang menginginkan hunian berkualitas dengan harga terjangkau.","Oke secara keseluruhan. WiFi kencang dan stabil. Ada plus minusnya, tapi tidak mengecewakan. Lumayan untuk jangka panjang.",assets/kos_photos/kos_0035.jpg,-6.260954,106.850644
KOS-0036,Kos Pancoran 36,Jakarta Selatan,Pancoran,2450000,Putri,12,0,1,1,0,0,0,0,1,7.6,Atmajaya,0.4,4.8,18,22,"Kos putri strategis di Pancoran, Jakarta Selatan. Kamar 12m² dilengkapi kamar mandi dalam, WiFi, dan security 24 jam. Lokasi hanya 7.6 km dari kampus dan 0.4 km dari moda transportasi umum. Suasana bersih, aman, dan nyaman. Cocok untuk mahasiswa maupun pekerja muda yang menginginkan hunian berkualitas dengan harga terjangkau.","Sudah 8 bulan di sini, sangat puas! Kamar bersih dan wangi. WiFi kencang dan stabil. Kamar mandi pribadi sangat nyaman. Pemilik kos sigap menangani keluhan. Sangat direkomendasikan!",assets/kos_photos/kos_0036.jpg,-6.257018,106.8161
KOS-0037,Kos Setiabudi 37,Jakarta Selatan,Setiabudi,2350000,Putri,9,1,0,0,1,0,0,1,0,3.8,Atmajaya,2.5,4.2,8,38,"Hunian nyaman di jantung Jakarta Selatan. Kos putri dengan AC, listrik termasuk, dan laundry. Ukuran kamar 9m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 2.5 km. Cocok untuk profesional muda yang aktif.","Sudah 3 bulan di sini, sangat puas! Kamar bersih dan wangi. AC dingin, tidak berisik. Pemilik kos sigap menangani keluhan. Sangat direkomendasikan!",assets/kos_photos/kos_0037.jpg,-6.240622,106.819522
