id_kos,nama_kos,kota,wilayah,harga_per_bulan,tipe_kos,ukuran_kamar,ac,kamar_mandi_dalam,wifi,listrik_include,parkir,dapur,laundry,security_24jam,jarak_ke_kampus_km,kampus_terdekat,jarak_ke_transportasi_km,rating,jumlah_kamar,jumlah_review
KOS-0056,Kos Mampang Prapatan 56,Jakarta Selatan,Mampang Prapatan,2450000,Putri,12,1,1,1,0,0,0,0,1,7.8,Universitas Pancasila,0.7,4.2,15,46
KOS-0057,Kos Pesanggrahan 57,Jakarta Selatan,Pesanggrahan,2050000,Campur,9,0,1,1,1,0,0,0,0,9.5,Atmajaya,2.3,4.8,12,153
KOS-0058,Kos Pancoran 58,Jakarta Selatan,Pancoran,2850000,Putra,15,1,1,1,0,1,0,1,1,9.3,Atmajaya,1.1,3.6,25,141
KOS-0059,Kos Pasar Minggu 59,Jakarta Selatan,Pasar Minggu,2600000,Putra,12,1,1,1,0,1,1,0,1,2.7,Atmajaya,0.8,4.0,27,112
KOS-0060,Kos Jagakarsa 60,Jakarta Selatan,Jagakarsa,3100000,Putra,18,1,1,1,0,1,1,0,0,0.7,Binus,4.4,4.7,11,33
KOS-0061,Kos Pancoran 61,Jakarta Selatan,Pancoran,2950000,Putri,9,1,1,1,1,1,1,0,1,1.5,Universitas Pancasila,1.9,3.9,29,197
KOS-0062,Kos Kebayoran Lama 62,Jakarta Selatan,Kebayoran Lama,2950000,Putri,18,1,1,1,1,0,1,1,0,9.5,Universitas Pancasila,2.4,5.0,12,97
KOS-0063,Kos Cilandak 63,Jakarta Selatan,Cilandak,3100000,Putra,24,1,1,1,0,0,0,1,0,8.9,Binus,4.7,4.1,22,66
KOS-0064,Kos Pancoran 64,Jakarta Selatan,Pancoran,3150000,Campur,9,0,1,1,0,1,0,0,0,1.7,UI Depok,4.5,4.7,12,9
KOS-0065,Kos Tebet 65,Jakarta Selatan,Tebet,2850000,Putra,18,1,0,1,1,1,0,0,1,5.2,Universitas Pancasila,2.5,4.0,6,95
KOS-0066,Kos Pancoran 66,Jakarta Selatan,Pancoran,3600000,Putri,15,1,1,1,1,1,1,1,1,7.7,Binus,1.0,3.5,27,142
KOS-0067,Kos Kebayoran Lama 67,Jakarta Selatan,Kebayoran Lama,2750000,Campur,15,1,0,1,1,1,0,0,1,3.0,Binus,3.2,3.7,11,67
KOS-0068,Kos Kebayoran Lama 68,Jakarta Selatan,Kebayoran Lama,3300000,Putra,15,0,1,1,0,1,1,0,1,0.9,Universitas Pancasila,4.4,4.6,7,129
KOS-0069,Kos Jagakarsa 69,Jakarta Selatan,Jagakarsa,2800000,Campur,9,0,1,1,1,0,0,0,1,8.6,Binus,2.7,4.8,19,88
KOS-0070,Kos Cilandak 70,Jakarta Selatan,Cilandak,3000000,Putri,12,0,1,1,0,1,1,1,1,3.5,UI Depok,1.7,3.8,21,28
KOS-0071,Kos Tebet 71,Jakarta Selatan,Tebet,3750000,Putri,15,1,1,1,0,1,1,1,1,1.7,Binus,0.4,4.7,29,21
KOS-0072,Kos Kebayoran Baru 72,Jakarta Selatan,Kebayoran Baru,2650000,Putri,9,1,0,1,0,1,0,1,0,1.2,UI Depok,2.1,3.9,17,37
KOS-0073,Kos Cilandak 73,Jakarta Selatan,Cilandak,2150000,Putra,12,1,1,1,0,0,0,0,1,7.9,UI Depok,4.7,4.8,5,120
KOS-0074,Kos Setiabudi 74,Jakarta Selatan,Setiabudi,2300000,Putri,15,1,0,1,1,1,0,0,0,0.8,Universitas Pancasila,4.7,4.6,12,182
KOS-0075,Kos Kebayoran Baru 75,Jakarta Selatan,Kebayoran Baru,3000000,Putri,15,1,1,0,1,1,1,0,1,1.3,Atmajaya,0.5,4.8,23,104
KOS-0076,Kos Mampang Prapatan 76,Jakarta Selatan,Mampang Prapatan,2550000,Putri,9,1,1,0,0,0,1,0,1,4.3,Binus,1.3,4.8,21,163
KOS-0077,Kos Setiabudi 77,Jakarta Selatan,Setiabudi,3200000,Putri,15,1,1,1,0,1,0,1,1,5.1,Binus,4.4,3.9,23,129
KOS-0078,Kos Pasar Minggu 78,Jakarta Selatan,Pasar Minggu,2300000,Campur,9,1,1,1,0,1,1,0,0,8.6,Atmajaya,2.6,4.2,28,88
KOS-0079,Kos Tebet 79,Jakarta Selatan,Tebet,2600000,Putri,9,0,1,1,0,1,0,0,1,2.7,Binus,4.4,4.2,16,109
KOS-0080,Kos Pancoran 80,Jakarta Selatan,Pancoran,3000000,Putri,15,1,1,1,0,1,0,0,0,7.2,Binus,2.3,4.3,24,82
KOS-0081,Kos Tebet 81,Jakarta Selatan,Tebet,2300000,Putri,15,0,0,0,1,0,0,0,0,4.3,Atmajaya,2.5,4.0,29,188
KOS-0082,Kos Tebet 82,Jakarta Selatan,Tebet,3050000,Putra,15,1,1,0,0,0,1,1,0,2.0,Binus,1.3,4.5,27,175
KOS-0083,Kos Setiabudi 83,Jakarta Selatan,Setiabudi,2700000,Putri,20,0,0,1,1,1,0,1,1,8.4,Atmajaya,3.4,3.7,10,77
KOS-0084,Kos Pancoran 84,Jakarta Selatan,Pancoran,2950000,Putri,18,1,1,1,1,1,1,0,0,7.7,Atmajaya,4.0,3.7,26,93
KOS-0085,Kos Kebayoran Lama 85,Jakarta Selatan,Kebayoran Lama,2450000,Putra,9,1,0,1,1,1,0,0,0,6.2,Universitas Pancasila,3.4,4.1,12,198
KOS-0086,Kos Cilandak 86,Jakarta Selatan,Cilandak,2800000,Putri,15,1,1,0,0,1,0,0,0,7.3,Universitas Pancasila,2.7,4.8,25,147
KOS-0087,Kos Pesanggrahan 87,Jakarta Selatan,Pesanggrahan,2100000,Putri,20,1,0,0,0,0,0,0,1,5.6,Universitas Pancasila,3.0,4.1,17,94
KOS-0088,Kos Pesanggrahan 88,Jakarta Selatan,Pesanggrahan,2500000,Campur,12,1,0,1,1,0,0,1,0,1.3,Atmajaya,4.1,3.7,17,154
KOS-0089,Kos Cilandak 89,Jakarta Selatan,Cilandak,3400000,Putri,9,1,1,1,1,0,0,1,1,3.4,Universitas Pancasila,3.7,4.7,23,187
KOS-0090,Kos Tebet 90,Jakarta Selatan,Tebet,1650000,Putra,15,0,0,1,0,1,0,0,0,2.9,UI Depok,3.2,3.9,11,150
KOS-0091,Kos Pasar Minggu 91,Jakarta Selatan,Pasar Minggu,2750000,Campur,15,1,1,1,0,1,1,0,0,3.0,UI Depok,3.3,4.1,10,17
KOS-0092,Kos Pancoran 92,Jakarta Selatan,Pancoran,2800000,Putri,9,1,1,0,1,0,0,0,0,1.0,Universitas Pancasila,2.0,4.2,24,154
KOS-0093,Kos Setiabudi 93,Jakarta Selatan,Setiabudi,2050000,Putra,15,1,0,1,0,1,0,0,1,8.1,Universitas Pancasila,4.7,3.7,9,108
KOS-0094,Kos Mampang Prapatan 94,Jakarta Selatan,Mampang Prapatan,2850000,Putri,15,1,1,1,1,0,1,0,1,0.8,UI Depok,1.7,3.6,29,197
KOS-0095,Kos Pasar Minggu 95,Jakarta Selatan,Pasar Minggu,3300000,Putra,20,1,1,1,1,1,0,1,1,1.6,Atmajaya,4.1,4.8,10,84
KOS-0096,Kos Jagakarsa 96,Jakarta Selatan,Jagakarsa,2400000,Campur,9,1,0,1,0,1,0,1,1,8.7,Atmajaya,4.6,4.6,24,173
KOS-0097,Kos Cilandak 97,Jakarta Selatan,Cilandak,1700000,Putri,12,0,0,0,0,0,1,0,1,5.3,Universitas Pancasila,2.3,3.8,6,155
KOS-0098,Kos Pasar Minggu 98,Jakarta Selatan,Pasar Minggu,2500000,Putri,9,1,1,0,0,1,1,0,0,1.2,Universitas Pancasila,4.0,4.5,5,8
KOS-0099,Kos Jagakarsa 99,Jakarta Selatan,Jagakarsa,2350000,Putri,15,0,0,1,0,1,1,1,1,3.9,Binus,2.7,4.1,9,187
KOS-0100,Kos Tebet 100,Jakarta Selatan,Tebet,2300000,Campur,15,0,1,1,1,1,0,0,0,2.4,Atmajaya,0.5,3.9,15,153
KOS-0101,Kos Kebayoran Baru 101,Jakarta Selatan,Kebayoran Baru,2000000,Campur,12,0,0,0,1,0,1,1,1,9.6,Universitas Pancasila,0.8,4.9,6,52
KOS-0102,Kos Pancoran 102,Jakarta Selatan,Pancoran,2950000,Putri,9,1,0,1,0,1,1,1,1,5.4,Universitas Pancasila,0.9,4.5,17,91
KOS-0103,Kos Pancoran 103,Jakarta Selatan,Pancoran,1950000,Putri,15,0,0,0,1,1,0,0,0,2.3,Binus,1.0,4.6,14,115
KOS-0104,Kos Pancoran 104,Jakarta Selatan,Pancoran,3000000,Putri,12,0,1,1,0,0,0,0,1,0.9,UI Depok,4.8,5.0,26,185
KOS-0105,Kos Tebet 105,Jakarta Selatan,Tebet,2850000,Campur,9,0,0,1,0,1,0,0,1,1.7,Atmajaya,1.1,3.9,27,16
KOS-0106,Kos Pesanggrahan 106,Jakarta Selatan,Pesanggrahan,2950000,Putra,15,1,1,1,1,1,0,0,0,3.1,Atmajaya,2.8,4.5,24,54
KOS-0107,Kos Pasar Minggu 107,Jakarta Selatan,Pasar Minggu,1800000,Putra,12,0,0,1,1,1,1,0,0,8.8,UI Depok,2.3,4.7,16,7
KOS-0108,Kos Pancoran 108,Jakarta Selatan,Pancoran,2850000,Putri,12,0,0,1,1,1,1,1,1,5.6,Binus,2.7,4.7,18,125
KOS-0109,Kos Tebet 109,Jakarta Selatan,Tebet,3150000,Putri,15,1,1,1,1,1,0,0,0,2.6,Binus,0.9,3.8,14,178
KOS-0110,Kos Kebayoran Baru 110,Jakarta Selatan,Kebayoran Baru,2250000,Putri,9,0,0,1,1,1,1,0,0,5.1,Atmajaya,3.1,4.0,18,154
KOS-0111,Kos Mampang Prapatan 111,Jakarta Selatan,Mampang Prapatan,3250000,Putri,9,1,1,1,1,1,0,0,0,2.6,UI Depok,3.1,4.9,17,149
KOS-0112,Kos Cilandak 112,Jakarta Selatan,Cilandak,2500000,Putra,12,1,1,0,0,1,0,0,1,3.7,Atmajaya,0.3,3.9,21,113
KOS-0113,Kos Pasar Minggu 113,Jakarta Selatan,Pasar Minggu,2950000,Putri,9,1,0,1,1,1,0,1,1,1.3,UI Depok,3.7,4.6,10,186
KOS-0114,Kos Pesanggrahan 114,Jakarta Selatan,Pesanggrahan,2550000,Campur,9,1,1,1,0,0,0,0,0,3.1,Universitas Pancasila,3.8,3.6,17,188
KOS-0115,Kos Kebayoran Baru 115,Jakarta Selatan,Kebayoran Baru,3150000,Putri,9,1,1,1,0,1,0,0,1,8.9,Binus,2.1,4.4,9,25
KOS-0116,Kos Tebet 116,Jakarta Selatan,Tebet,2800000,Putra,15,0,1,0,0,1,1,1,0,4.5,Universitas Pancasila,0.6,5.0,6,190
KOS-0117,Kos Pesanggrahan 117,Jakarta Selatan,Pesanggrahan,2850000,Putra,9,1,1,1,0,1,0,0,1,8.7,Universitas Pancasila,2.4,4.7,10,63
KOS-0118,Kos Setiabudi 118,Jakarta Selatan,Setiabudi,2750000,Putra,9,1,1,1,0,1,0,1,1,6.8,Atmajaya,1.0,4.3,21,70
KOS-0119,Kos Pesanggrahan 119,Jakarta Selatan,Pesanggrahan,1700000,Putra,12,0,0,1,0,1,0,0,0,2.4,UI Depok,1.1,4.6,9,76
KOS-0120,Kos Jagakarsa 120,Jakarta Selatan,Jagakarsa,2950000,Putri,18,1,0,1,1,1,0,0,1,2.1,Atmajaya,2.6,4.0,20,105
KOS-0121,Kos Kebayoran Baru 121,Jakarta Selatan,Kebayoran Baru,3350000,Putra,15,1,1,1,0,1,0,1,1,3.6,UI Depok,5.0,3.7,9,135
KOS-0122,Kos Pancoran 122,Jakarta Selatan,Pancoran,2550000,Putra,15,0,1,1,0,1,0,0,1,9.9,Atmajaya,4.5,3.9,26,80
KOS-0123,Kos Setiabudi 123,Jakarta Selatan,Setiabudi,2550000,Putri,12,0,0,0,1,1,1,1,0,6.0,Universitas Pancasila,3.7,3.9,5,129
KOS-0124,Kos Tebet 124,Jakarta Selatan,Tebet,2150000,Putri,15,1,1,0,0,1,0,1,0,5.4,Universitas Pancasila,1.7,4.0,18,146
KOS-0125,Kos Kebayoran Baru 125,Jakarta Selatan,Kebayoran Baru,2850000,Putra,12,1,1,1,1,0,1,0,1,4.9,Atmajaya,4.3,5.0,18,88
KOS-0126,Kos Pancoran 126,Jakarta Selatan,Pancoran,2350000,Campur,9,0,1,1,0,1,0,1,1,9.6,Universitas Pancasila,3.7,3.9,19,146
KOS-0127,Kos Mampang Prapatan 127,Jakarta Selatan,Mampang Prapatan,3100000,Putra,9,1,1,0,0,0,0,0,1,7.6,Binus,0.4,4.5,18,173
KOS-0128,Kos Mampang Prapatan 128,Jakarta Selatan,Mampang Prapatan,1900000,Putri,9,0,0,1,1,0,0,1,1,8.4,Atmajaya,3.1,4.9,8,69
KOS-0129,Kos Mampang Prapatan 129,Jakarta Selatan,Mampang Prapatan,2550000,Putri,15,1,1,1,0,1,1,1,1,6.1,Universitas Pancasila,3.6,3.7,26,177
KOS-0130,Kos Pasar Minggu 130,Jakarta Selatan,Pasar Minggu,3100000,Putri,12,1,1,1,1,1,1,0,0,0.9,Atmajaya,0.9,4.0,21,172
KOS-0131,Kos Pasar Minggu 131,Jakarta Selatan,Pasar Minggu,2800000,Putra,12,1,1,1,1,1,0,1,1,4.7,UI Depok,1.2,3.9,28,53
KOS-0132,Kos Pesanggrahan 132,Jakarta Selatan,Pesanggrahan,3250000,Campur,9,1,1,1,1,0,1,0,1,4.2,UI Depok,3.7,3.9,20,49
KOS-0133,Kos Setiabudi 133,Jakarta Selatan,Setiabudi,2650000,Putri,9,1,1,0,1,0,0,0,1,4.1,UI Depok,2.4,4.1,24,80
KOS-0134,Kos Setiabudi 134,Jakarta Selatan,Setiabudi,3300000,Putra,9,1,1,1,1,1,1,0,1,2.0,Universitas Pancasila,1.0,4.3,7,98
KOS-0135,Kos Mampang Prapatan 135,Jakarta Selatan,Mampang Prapatan,2750000,Putra,12,1,1,1,0,0,0,1,1,8.3,Atmajaya,0.5,4.1,17,77
KOS-0136,Kos Kebayoran Lama 136,Jakarta Selatan,Kebayoran Lama,2800000,Campur,9,1,1,1,0,1,0,1,0,4.0,Atmajaya,0.3,4.3,9,169
KOS-0137,Kos Mampang Prapatan 137,Jakarta Selatan,Mampang Prapatan,3250000,Putri,9,1,1,1,1,1,0,0,1,8.5,UI Depok,2.7,4.3,8,113
KOS-0138,Kos Tebet 138,Jakarta Selatan,Tebet,2200000,Putra,9,1,0,1,1,1,0,0,0,7.7,Universitas Pancasila,2.4,3.7,14,105
KOS-0139,Kos Pasar Minggu 139,Jakarta Selatan,Pasar Minggu,2950000,Putra,12,1,1,1,1,0,1,0,0,2.0,Atmajaya,2.9,4.8,23,46
KOS-0140,Kos Tebet 140,Jakarta Selatan,Tebet,2000000,Putri,9,0,0,0,0,0,1,0,0,4.7,Universitas Pancasila,3.2,5.0,22,156
KOS-0141,Kos Setiabudi 141,Jakarta Selatan,Setiabudi,3400000,Putri,12,1,1,0,1,1,1,0,1,4.9,Universitas Pancasila,0.4,3.6,28,173
KOS-0142,Kos Setiabudi 142,Jakarta Selatan,Setiabudi,2350000,Putra,9,1,0,1,1,1,1,0,0,7.7,UI Depok,2.1,4.4,23,86
KOS-0143,Kos Pasar Minggu 143,Jakarta Selatan,Pasar Minggu,2450000,Putra,9,1,1,1,0,1,0,0,1,3.5,Universitas Pancasila,1.4,3.8,27,118
KOS-0144,Kos Cilandak 144,Jakarta Selatan,Cilandak,3200000,Putra,24,1,1,1,0,0,0,1,0,0.6,Atmajaya,5.0,3.9,11,69
KOS-0145,Kos Kebayoran Baru 145,Jakarta Selatan,Kebayoran Baru,2950000,Putri,9,1,1,0,1,1,1,1,1,5.1,Universitas Pancasila,0.6,3.6,7,7
KOS-0146,Kos Tebet 146,Jakarta Selatan,Tebet,2550000,Putra,15,0,0,1,1,0,1,0,1,6.8,Binus,1.2,3.9,28,59
KOS-0147,Kos Cilandak 147,Jakarta Selatan,Cilandak,3100000,Putra,18,1,1,1,1,1,1,0,1,5.3,Binus,2.4,3.6,22,182
KOS-0148,Kos Kebayoran Baru 148,Jakarta Selatan,Kebayoran Baru,2200000,Campur,18,1,0,1,0,1,1,0,0,7.4,Universitas Pancasila,1.5,3.8,22,42
KOS-0149,Kos Pancoran 149,Jakarta Selatan,Pancoran,2950000,Putra,18,0,1,0,0,1,0,0,0,3.5,Universitas Pancasila,4.0,4.9,20,183
KOS-0150,Kos Kebayoran Lama 150,Jakarta Selatan,Kebayoran Lama,2750000,Campur,9,0,0,1,1,1,1,0,0,3.1,Atmajaya,0.8,3.9,24,144
KOS-0151,Kos Kebayoran Lama 151,Jakarta Selatan,Kebayoran Lama,2650000,Putri,9,0,0,1,1,1,0,0,0,7.8,Binus,2.2,3.8,13,58
KOS-0152,Kos Mampang Prapatan 152,Jakarta Selatan,Mampang Prapatan,2650000,Campur,9,1,1,1,0,1,1,0,1,7.0,UI Depok,2.4,3.6,17,53
KOS-0153,Kos Cilandak 153,Jakarta Selatan,Cilandak,3000000,Campur,9,1,1,0,1,0,1,1,1,7.5,Universitas Pancasila,1.8,4.6,29,126
KOS-0154,Kos Setiabudi 154,Jakarta Selatan,Setiabudi,2450000,Putri,18,1,0,1,1,1,1,0,0,1.6,Universitas Pancasila,1.5,4.7,11,61
KOS-0155,Kos Kebayoran Lama 155,Jakarta Selatan,Kebayoran Lama,2850000,Putri,12,1,1,1,0,1,1,1,1,1.1,Universitas Pancasila,1.3,4.6,27,8
KOS-0156,Kos Setiabudi 156,Jakarta Selatan,Setiabudi,2250000,Putri,15,1,0,1,1,1,0,1,0,9.0,Universitas Pancasila,4.3,5.0,12,72
KOS-0157,Kos Pancoran 157,Jakarta Selatan,Pancoran,3300000,Putra,15,1,1,1,0,1,1,0,0,4.8,Binus,0.8,3.9,25,138
KOS-0158,Kos Cilandak 158,Jakarta Selatan,Cilandak,3000000,Campur,15,1,1,1,0,1,0,1,1,1.8,Universitas Pancasila,5.0,4.5,13,72
